"","abortion","age","bible","black","church","church.abortion","church.ssm","education","evangelical","federal.funds","female","gop.exceptions","ideology","income","incorrect.rps.abortion","incorrect.rps.ssm","insurance","mainline","partyid","pro.choice.count","romancatholic","rps.abortion","rps.ssm","secular.knowledge","ssm","tradition","week.20","weight","bible.collapsed","education.collapsed","ideology.collapsed","income.collapsed","ambiguous"
"1",0,67,3,0,1,"Establish Need","Yes to Civil Unions",5,0,0,0,0,3,10,0,0,0,1,4,0,0,1,1,2,0,"Mainline Protestant",0,0.498123574968918,2,4,2,10,0
"4",1,55,3,0,3,"Never Permit","No to Both",5,0,0,0,1,3,7,0,0,0,0,3,2,1,1,1,2,0,"Roman Catholic Church",0,1.33000348151845,2,4,2,7,0
"6",0,57,2,0,1,"Standard GOP Exceptions","Yes to Civil Unions",2,0,0,0,1,3,10,1,0,0,1,6,1,0,0,1,2,0,"Mainline Protestant",0,1.07937292142043,1,1,2,10,0
"9",0,53,3,0,5,"Never Permit","No to Both",5,0,0,0,1,4,NA,0,0,0,0,6,1,1,1,1,2,0,"Roman Catholic Church",0,0.479658832566289,2,4,2,NA,0
"13",0,42,NA,0,5,"Not Available","Not Available",5,1,0,0,1,2,8,NA,NA,0,0,4,1,0,NA,NA,2,0,"Evangelical Protestant",0,0.24064358398224,NA,4,1,8,0
"14",0,38,3,0,0,"Standard GOP Exceptions","DK",4,1,0,0,0,3,11,0,0,0,0,6,0,0,1,0,2,0,"Evangelical Protestant - Ambiguous",0,2.00129557505153,2,3,2,11,1
"16",0,69,3,0,1,"Establish Need","Yes to Civil Unions",4,1,1,0,0,4,5,1,1,0,0,5,1,0,0,0,2,0,"Evangelical Protestant",0,0.26587527726935,2,3,2,5,0
"17",0,70,3,0,1,"DK","Yes to Civil Unions",2,1,0,0,0,2,6,0,1,0,0,6,0,0,0,0,2,0,"Evangelical Protestant",0,0.502420672299736,2,1,1,6,0
"18",1,72,2,0,1,"DK","DK",3,1,1,0,1,3,9,0,0,1,0,5,4,0,0,0,2,0,"Evangelical Protestant",0,0.688105549817473,1,2,2,9,0
"19",0,65,2,0,2,"Never Permit","Yes to Both",1,1,0,0,0,4,4,0,1,0,0,4,0,0,1,0,2,0,"Evangelical Protestant",0,0.676255538722045,1,0,2,4,0
"20",0,79,2,0,4,"DK","Yes to Both",4,0,0,0,0,3,NA,0,0,0,1,4,0,0,0,1,2,0,"Mainline Protestant",0,0.499975133870134,1,3,2,NA,0
"21",1,76,2,0,0,"Always Permit","Yes to Civil Unions",2,0,1,1,1,2,7,0,0,1,1,2,4,0,1,1,2,1,"Mainline Protestant",0,1.50050044733776,1,1,1,7,0
"22",0,72,2,0,4,"Never Permit","Yes to Civil Unions",5,0,0,0,1,4,7,0,1,0,0,4,2,1,1,0,2,0,"Roman Catholic Church",1,0.292721397149563,1,4,2,7,0
"23",0,55,NA,0,2,"Not Available","Not Available",4,0,0,1,1,2,7,NA,NA,0,1,4,1,0,NA,NA,2,1,"Mainline Protestant",0,0.614956737539316,NA,3,1,7,0
"24",1,55,3,0,4,"Establish Need","Yes to Both",5,0,1,1,1,1,12,0,0,1,1,0,4,0,1,1,2,1,"Mainline Protestant",0,1.321947105727,2,4,0,11,0
"25",0,44,2,0,1,"DK","DK",4,0,0,0,1,2,8,0,0,1,1,2,2,0,0,0,2,1,"Mainline Protestant",0,1.83159958266276,1,3,1,8,0
"26",0,73,2,0,2,"Never Permit","No to Both",3,0,0,1,0,3,8,1,1,0,1,5,0,0,0,0,0,0,"Mainline Protestant",0,0.790771696883919,1,2,2,8,0
